Разширих обясненията, но ги оставих подходящи за проект - не прекалено дълги, а ясни и лесни за учене.

| Година / период             | Събитие и обяснение                                                                                                                                                                                                                                                                                                                                                                                                     | Снимка - какво да търсиш                                                                                               |
| --------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------- |
| началото на XVIII в. - 1753 | **Пазене на стари ръкописни и печатни книги в Свищов.** Това показва, че още преди силното развитие на Българското възраждане в града има духовен и книжовен живот. Книгите са били много важни, защото чрез тях хората са запазвали езика, християнската традиция и връзката си с българската култура. В онова време книгите не са били масово достъпни, затова всяка запазена книга е била ценност за цялата общност. | `стари български ръкописи`, `възрожденски ръкописни книги`, `стара българска книга`                                    |
| 1753                        | **Написване на Свищовския дамаскин.** Това е ръкопис, написан на местно свищовско наречие. Той е важен не само като религиозен текст, а и като доказателство за живия говор на хората от Свищов и околността. Чрез такива ръкописи може да се види как се е развивал българският език преди модерното образование.                                                                                                      | `Свищовски дамаскин 1753`, `български дамаскин ръкопис`, `дамаскин възраждане`                                         |
| XVIII - началото на XIX в.  | **Килийните училища поддържат просветата.** Преди модерните училища образованието най-често се е извършвало в килии към църкви и манастири. Учениците са се учили да четат, пишат и смятат, като често са използвали църковни книги. Макар обучението да е било ограничено, то е изиграло важна роля за запазването на грамотността и българското самосъзнание.                                                         | `килийно училище Българско възраждане`, `българско килийно училище`, `училище към църква възраждане`                   |
| XVIII - XIX в.              | **Църквите като културни и просветни центрове.** В Свищов църквите не са били само места за богослужение. Те са събирали хората, пазели са книги, подпомагали са училищата и са били центрове на българската общност. В период, когато българите нямат своя държава, църквата често е мястото, където се пазят езикът, традициите и историческата памет.                                                                | `стара църква Свищов`, `църква Свето Преображение Свищов`, `възрожденска църква България`                              |
| след 1810 г.                | **Възстановяване и строеж на църкви след големия пожар.** След пожара от 1810 г. Свищов започва да се възстановява. Построяват се и се обновяват важни църкви като „Св. Пророк Илия“, „Преображение“ и „Св. Троица“. Освен религиозно значение, тези храмове имат и културна стойност, защото в тях се развиват иконопис, дърворезба и църковно изкуство.                                                               | `Свищов църква Света Троица`, `Свищов църква Преображение`, `възрожденски иконостас`                                   |
| 1812                        | **Дарението на Филип Сакелариевич за свищовските училища.** Това е ранен пример за дарителство в полза на образованието. Заможни българи започват да разбират, че училищата са основа за развитието на народа. Такива дарения помагат за заплащане на учители, купуване на книги и поддържане на училищните сгради.                                                                                                     | `Филип Сакелариевич Свищов`, `български възрожденски дарители`, `дарители за българското образование`                  |
| 1814 - 1818                 | **Записване на дарения за училищата в училищната кондика.** В този период различни свищовски граждани, търговци и еснафи даряват средства за просветата. Това показва, че училищното дело не е било грижа само на отделни личности, а на цялото градско общество. Хората са приемали образованието като обща кауза и като път към напредък.                                                                             | `възрожденска училищна кондика`, `еснафи Българско възраждане`, `дарения за училища Възраждане`                        |
| 1815                        | **Емануил Васкидович започва просветна дейност в Свищов.** Той е една от най-важните фигури за развитието на училищното дело в града. С неговата работа образованието постепенно преминава от стария килиен тип към по-организирано и модерно обучение. Васкидович помага Свищов да се утвърди като един от големите просветни центрове през Възраждането.                                                              | `Емануил Васкидович Свищов`, `Емануил Васкидович учител`, `възрожденски учители Свищов`                                |
| 1831                        | **Христаки Павлович става учител в Свищов.** Той е виден възрожденски учител, книжовник и просветител. Работата му в града допринася за развитието на по-добре организирано образование. Освен като учител, той е важен и като автор на учебни книги, които помагат на учениците да се обучават на български език.                                                                                                      | `Христаки Павлович Свищов`, `Христаки Павлович възрожденец`, `Христаки Павлович учебници`                              |
| 1832                        | **Разширяване на училището при „Св. Преображение“.** Увеличаването на броя на учениците налага училището да бъде разширено или по-добре устроено. Това е знак, че все повече семейства започват да ценят образованието. Свищов вече не разчита само на малки килийни училища, а върви към по-модерна училищна система.                                                                                                  | `Свищов училище Преображение`, `възрожденско училище Свищов`, `българско училище Възраждане`                           |
| 1835                        | **Издаване на важни възрожденски учебни книги.** Сред тях са „Славяноболгарское детоводство“ на Неофит Бозвели и Емануил Васкидович, както и „Разговорник греко-болгарский“ на Христаки Павлович. Тези книги са ценни, защото подпомагат обучението на българските деца и дават знания на разбираем език. Те са част от борбата за българска просвета и за откъсване от силното гръцко културно влияние.                | `Славяноболгарское детоводство`, `Неофит Бозвели Васкидович`, `Разговорник греко болгарский Христаки Павлович`         |
| 1836                        | **Нови дарения за училищата.** Свищовски благодетели като Иван х. Ангелов подкрепят училищното дело. Това показва, че просветата вече има стабилна обществена подкрепа. Дарителите разбират, че чрез училищата се изграждат бъдещи търговци, учители, книжовници и обществени водачи.                                                                                                                                   | `Иван х Ангелов Свищов`, `свищовски дарители`, `дарители образование Българско възраждане`                             |
| 1841                        | **Български ученици и студенти участват в просветни дружества в Атина.** Такива дружества показват, че българската младеж търси знания и извън пределите на българските земи. Участието в тях помага за разпространяване на идеи за образование, народност и културно самостоятелно развитие. Това е част от по-широкото възрожденско движение.                                                                         | `Славяно-българско ученолюбиво дружество`, `български студенти Атина 1841`, `български просветни дружества Възраждане` |
| 1843 - 1847                 | **Поява на повече учители и начално участие на жени в образованието.** В този период в свищовските училища работят повече преподаватели, а се споменава и „даскалица“. Това е важно, защото показва, че образованието се разширява и постепенно достига и до момичетата. Женското образование през Възраждането е голяма стъпка към модернизиране на обществото.                                                        | `даскалица Възраждане`, `женско образование Българско възраждане`, `първи български учителки`                          |
| 1845                        | **Добри отзиви за свищовските училища от пътешественици и чужди наблюдатели.** Свищовските училища правят впечатление с броя на учениците и с предметите, които се изучават. Това показва, че градът вече има репутация на просветен център. В сравнение с по-старото килийно обучение, тук вече се преподават по-разнообразни знания.                                                                                  | `Виктор Григорович Свищов`, `Свищов училища Възраждане`, `възрожденско класно училище`                                 |
| 1856                        | **Основаване на Свищовското читалище.** Читалището е едно от най-важните културни събития за града. То събира книги, организира четене, разговори и обществени прояви. Читалищата през Възраждането са като културни домове - те образоват хората и развиват националното самосъзнание.                                                                                                                                 | `Свищовско читалище 1856`, `читалище Еленка и Кирил Аврамови Свищов`, `възрожденско читалище`                          |
| 1859 - 1866                 | **Васил Манчев развива българска просветна дейност в Македония.** Той е свищовски учител, който работи за разпространение на българското образование извън Свищов. Дейността му в Битоля е важна, защото там българското училище се противопоставя на гръцкото духовно и културно влияние. Това показва как свищовските просветители участват в общобългарския културен живот.                                          | `Васил Манчев Свищов`, `Васил Манчев Битоля`, `българско училище Битоля Възраждане`                                    |
| 1862 - 1870                 | **Янко Мустаков развива музикалния живот в Свищов.** Той работи като учител и организира певчески хор, а по-късно и оркестър. Това е важно, защото културата не се изчерпва само с училища и книги - музиката също става част от обществения живот. Така Свищов се превръща в място, където се развива и художествена култура.                                                                                          | `Янко Мустаков Свищов`, `първи български хор Свищов`, `Свищов певчески хор`                                            |
| 1864                        | **Свищовските училища имат голям брой ученици и разнообразни предмети.** В училищата се изучават не само четене и писане, а и история, география, математика, физика, езици и литература. Това показва, че образованието вече е модерно и подготвя учениците за търговия, обществени дейности и по-високо обучение. Свищов е сред градовете, които дават силен тласък на възрожденското образование.                    | `възрожденско класно училище`, `българско образование през Възраждането`, `Свищов училища 1864`                        |
| 1860-те                     | **Съпротива срещу просветните реформи на Мидхат паша.** Част от реформите са възприемани като опит училищата да бъдат поставени под по-силен османски контрол. За българите това е опасно, защото училището е място, където се запазват езикът и народната идентичност. Затова борбата за училища е и културна, и национална борба.                                                                                     | `Мидхат паша просветни реформи`, `български училища Мидхат паша`, `просветна борба Възраждане`                         |
| 1866 - 1894                 | **Николай Павлович се утвърждава като художник.** Той е роден в Свищов и е един от важните български художници от Възраждането и след Освобождението. Учи във Виена и Мюнхен, рисува исторически картини, икони и литографии. Чрез изкуството си той помага на българите да виждат своето минало и герои като част от националната памет.                                                                               | `Николай Павлович художник`, `Николай Павлович Свищов`, `Николай Павлович литографии`                                  |
| 1870                        | **Основаване на женско дружество в Свищов.** Това е важна стъпка за участието на жените в обществения и културния живот. Женските дружества често подпомагат училища, бедни ученици и културни инициативи. Появата им показва, че просветата вече не е само мъжка дейност, а обща обществена задача.                                                                                                                    | `женско дружество Свищов 1870`, `женски дружества Възраждане`, `женско образование Възраждане`                         |
| 1873                        | **Откриване на първото търговско училище в България от Димитър Ем. Шишманов.** Това е много важно събитие, защото Свищов е силен търговски град. Търговското училище дава практически знания, нужни за икономическия живот - сметки, езици, търговски умения. То показва, че образованието започва да се свързва с реалните нужди на модерното общество.                                                                | `първо търговско училище Свищов 1873`, `Димитър Шишманов търговско училище`, `Свищов търговско училище`                |
| 1875                        | **Създаване на учителско дружество в Свищов.** Учителите започват да се организират не само като отделни преподаватели, а като общност. Такова дружество може да обсъжда учебни въпроси, да защитава интересите на учителите и да подпомага развитието на училищата. Това показва, че образованието в Свищов вече е достатъчно развито, за да има професионална учителска среда.                                        | `учителско дружество Свищов 1875`, `български учителски дружества`, `учители Българско възраждане`                     |
| 1870-те                     | **Д-р Димитър Хр. Павлович участва в културния живот на Свищов.** Той е част от образованата свищовска интелигенция. Домът му се свързва със срещи, разговори и обществена дейност. Такива личности са важни, защото събират около себе си хора с идеи за просвета, култура и развитие на града.                                                                                                                        | `Димитър Хр Павлович Свищов`, `д-р Димитър Павлович възрожденец`, `свищовска интелигенция Възраждане`                  |
| 1900                        | **Поставяне на основен камък на паметник за свищовските патриоти-борци.** Това събитие вече е свързано с културата на паметта. След Освобождението българите започват по-ясно да почитат своите възрожденци, учители, дарители и борци. Паметниците показват, че обществото иска да запази спомена за хората, които са работили за свободата и просветата.                                                              | `паметник свищовски патриоти борци`, `Свищов паметник възрожденци`, `паметник Свищов 1900`                             |

За презентация бих избрал около 8-10 от тях, за да не стане претрупано: Свищовския дамаскин, килийните училища, Васкидович, Христаки Павлович, учебниците от 1835 г., читалището, Янко Мустаков, Николай Павлович, женското дружество и първото търговско училище.
